address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"615 Brookwood Rd, Baltimore, MD 21229",21230,389500,4,3,2478,https://www.trulia.com/home/615-brookwood-rd-baltimore-md-21229-36629451
"12 S  Tremont Rd, Baltimore, MD 21229",21230,198500,4,2,2533,https://www.trulia.com/home/12-s-tremont-rd-baltimore-md-21229-36631503
"801 Key Hwy #361, Baltimore, MD 21230",21230,1890000,3,3,3800,https://www.trulia.com/home/801-key-hwy-361-baltimore-md-21230-92202871
"801 S  Macon St, Baltimore, MD 21224",21234,365000,2,3,1940,https://www.trulia.com/home/801-s-macon-st-baltimore-md-21224-123578746
"8128 Bartholomew Ct, Baltimore, MD 21206",21231,383900,3,3,1148,https://www.trulia.com/home/8128-bartholomew-ct-baltimore-md-21206-247737381
"3414 Virginia Ave, Baltimore, MD 21215",21224,269900,2,3,NaN,https://www.trulia.com/home/3414-virginia-ave-baltimore-md-21215-294977285
"3225 Katewood Ct #2, Baltimore, MD 21209",21213,229000,2,2,1056,https://www.trulia.com/home/3225-katewood-ct-2-baltimore-md-21209-36354539
"2901 Fait Ave, Baltimore, MD 21224",21218,499000,2,2,1965,https://www.trulia.com/home/2901-fait-ave-baltimore-md-21224-36432203
"830 S  East Ave, Baltimore, MD 21224",21211,599000,4,3,1738,https://www.trulia.com/home/830-s-east-ave-baltimore-md-21224-36432353
"420 N  Rose St, Baltimore, MD 21224",21218,139900,2,2,912,https://www.trulia.com/home/420-n-rose-st-baltimore-md-21224-36438515
"2511 Orleans St, Baltimore, MD 21224",21218,139900,3,1,1040,https://www.trulia.com/home/2511-orleans-st-baltimore-md-21224-36438643
"236 N  Rose St, Baltimore, MD 21224",21211,139900,2,2,960,https://www.trulia.com/home/236-n-rose-st-baltimore-md-21224-36438707
"1803 E  Fairmount Ave, Baltimore, MD 21231",21217,299900,3,2,1664,https://www.trulia.com/home/1803-e-fairmount-ave-baltimore-md-21231-36439698
"505 N  Rose St, Baltimore, MD 21205",21217,84000,3,2,NaN,https://www.trulia.com/home/505-n-rose-st-baltimore-md-21205-36444797
"1939 N  Collington Ave, Baltimore, MD 21213",21215,45000,3,1,NaN,https://www.trulia.com/home/1939-n-collington-ave-baltimore-md-21213-36448390
"620 Wyanoke Ave, Baltimore, MD 21218",21215,265000,4,3,1566,https://www.trulia.com/home/620-wyanoke-ave-baltimore-md-21218-36457744
"1112 Gorsuch Ave, Baltimore, MD 21218",21215,60000,3,1,1176,https://www.trulia.com/home/1112-gorsuch-ave-baltimore-md-21218-36458147
"710 E  21st St, Baltimore, MD 21218",21216,299900,5,3,2800,https://www.trulia.com/home/710-e-21st-st-baltimore-md-21218-36459574
"732 E  21st St, Baltimore, MD 21218",21230,125000,4,3,3350,https://www.trulia.com/home/732-e-21st-st-baltimore-md-21218-36459584
"1203 Wilcox St, Baltimore, MD 21202",21202,127500,3,2,NaN,https://www.trulia.com/home/1203-wilcox-st-baltimore-md-21202-36468664
"4000 N  Charles St #1409, Baltimore, MD 21218",21201,187000,2,2,1170,https://www.trulia.com/home/4000-n-charles-st-1409-baltimore-md-21218-36470875
"4100 N  Charles St #801, Baltimore, MD 21218",21230,599777,2,2,1881,https://www.trulia.com/home/4100-n-charles-st-801-baltimore-md-21218-36471544
"4016 Roland Ave, Baltimore, MD 21211",21230,400000,4,2,1696,https://www.trulia.com/home/4016-roland-ave-baltimore-md-21211-36479728
"2855 Woodbrook Ave, Baltimore, MD 21217",21230,80000,4,2,1320,https://www.trulia.com/home/2855-woodbrook-ave-baltimore-md-21217-36480846
"2124 Brunt St, Baltimore, MD 21217",21229,145000,3,2,NaN,https://www.trulia.com/home/2124-brunt-st-baltimore-md-21217-36487217
"1723 W  North Ave, Baltimore, MD 21217",21225,140000,3,3,NaN,https://www.trulia.com/home/1723-w-north-ave-baltimore-md-21217-36493714
"2902 Allendale Rd, Baltimore, MD 21216",21224,385000,4,4,2464,https://www.trulia.com/home/2902-allendale-rd-baltimore-md-21216-36499244
"2603 Elsinore Ave, Baltimore, MD 21216",21224,175000,4,3,2284,https://www.trulia.com/home/2603-elsinore-ave-baltimore-md-21216-36500904
"2904 Ulman Ave, Baltimore, MD 21215",21224,269900,4,4,NaN,https://www.trulia.com/home/2904-ulman-ave-baltimore-md-21215-36501932
"2304 Druid Park Dr, Baltimore, MD 21215",21213,165000,3,1,1207,https://www.trulia.com/home/2304-druid-park-dr-baltimore-md-21215-36502582
"807 N  Brice St, Baltimore, MD 21217",21213,5000,NaN,NaN,NaN,https://www.trulia.com/home/807-n-brice-st-baltimore-md-21217-36506867
"3910 Cranston Ave, Baltimore, MD 21229",21213,229900,4,2,1200,https://www.trulia.com/home/3910-cranston-ave-baltimore-md-21229-36507325
